DATE,RATE
2005-03-29,107.420254
2005-03-30,107.46876
2005-03-31,107.045653
2005-04-01,107.479252
2005-04-02,107.46163
2005-04-03,107.46163
2005-04-04,108.164976
2005-04-05,108.398103
2005-04-06,108.645487
2005-04-07,108.426914
2005-04-08,108.484659
2005-04-09,108.566999
2005-04-10,108.566999
2005-04-11,107.752848
2005-04-12,107.953242
2005-04-13,107.365448
2005-04-14,108.149836
2005-04-15,107.899288
2005-04-16,108.095087
2005-04-17,108.095087
2005-04-18,107.540073
2005-04-19,107.064014
2005-04-20,106.85898
2005-04-21,107.064978
2005-04-22,106.079157
2005-04-23,106.153722
2005-04-24,106.153722
2005-04-25,105.729595
2005-04-26,105.994597
2005-04-27,106.024049
2005-04-28,105.96166
2005-04-29,104.905649
2005-04-30,104.984799
2005-05-01,104.984799
2005-05-02,105.152251
2005-05-03,105.147148
2005-05-04,104.518558
2005-05-05,104.427165
2005-05-06,104.898842
2005-05-07,104.87572
2005-05-08,104.87572
2005-05-09,105.583354
2005-05-10,105.601177
2005-05-11,105.583825
2005-05-12,106.519838
2005-05-13,107.15865
2005-05-14,107.150247
2005-05-15,107.150247
2005-05-16,107.165675
2005-05-17,107.309847
2005-05-18,107.072154
2005-05-19,107.424859
2005-05-20,108.036281
2005-05-21,107.984411
2005-05-22,107.984411
2005-05-23,107.772386
2005-05-24,107.433178
2005-05-25,107.70502
2005-05-26,108.075718
2005-05-27,107.865023
2005-05-28,107.883817
2005-05-29,107.883817
2005-05-30,107.974837
2005-05-31,108.264758
2005-06-01,108.612926
2005-06-02,108.23614
2005-06-03,107.84845
2005-06-04,107.846837
2005-06-05,107.846837
2005-06-06,106.949657
2005-06-07,106.660518
2005-06-08,107.011099
2005-06-09,107.430866
2005-06-10,108.119094
2005-06-11,107.980515
2005-06-12,107.980515
2005-06-13,109.430768
2005-06-14,109.343181
2005-06-15,109.3391
2005-06-16,109.06446
2005-06-17,108.750174
2005-06-18,108.723639
2005-06-19,108.723639
2005-06-20,109.260946
2005-06-21,108.71511
2005-06-22,108.817173
2005-06-23,108.702002
2005-06-24,109.179528
2005-06-25,109.160891
2005-06-26,109.160891
2005-06-27,109.305108
2005-06-28,109.891681
2005-06-29,110.359072
2005-06-30,110.842251
2005-07-01,111.457352
2005-07-02,111.377936
2005-07-03,111.377936
2005-07-04,111.587551
2005-07-05,111.776112
2005-07-06,112.026596
2005-07-07,111.919085
2005-07-08,112.28148
2005-07-09,112.333123
2005-07-10,112.333123
2005-07-11,111.851742
2005-07-12,111.033791
2005-07-13,111.788403
2005-07-14,112.164526
2005-07-15,112.208731
2005-07-16,112.165258
2005-07-17,112.165258
2005-07-18,111.92872
2005-07-19,112.834854
2005-07-20,113.059122
2005-07-21,110.572741
2005-07-22,111.13421
2005-07-23,111.178146
2005-07-24,111.178146
2005-07-25,111.619203
2005-07-26,112.33897
2005-07-27,112.367124
2005-07-28,112.274713
2005-07-29,112.346383
2005-07-30,112.348201
2005-07-31,112.348201
2005-08-01,112.013864
2005-08-02,111.359519
2005-08-03,111.083474
2005-08-04,111.311892
2005-08-05,111.856005
2005-08-06,111.782946
2005-08-07,111.782946
2005-08-08,111.853822
2005-08-09,112.059966
2005-08-10,110.774426
2005-08-11,110.030334
2005-08-12,109.460324
2005-08-13,109.408849
2005-08-14,109.408849
2005-08-15,109.403255
2005-08-16,109.418026
2005-08-17,109.749899
2005-08-18,110.490144
2005-08-19,110.479032
2005-08-20,110.428183
2005-08-21,110.428183
2005-08-22,109.644849
2005-08-23,109.900593
2005-08-24,110.264861
2005-08-25,109.94935
2005-08-26,109.864542
2005-08-27,109.751376
2005-08-28,109.751376
2005-08-29,110.519741
2005-08-30,111.420763
2005-08-31,111.026727
2005-09-01,110.183705
2005-09-02,109.707623
2005-09-03,109.702531
2005-09-04,109.702531
2005-09-05,109.199805
2005-09-06,109.576999
2005-09-07,110.077639
2005-09-08,110.495342
2005-09-09,109.863802
2005-09-10,109.892853
2005-09-11,109.892853
2005-09-12,109.983046
2005-09-13,110.809557
2005-09-14,110.197532
2005-09-15,110.499418
2005-09-16,111.195794
2005-09-17,111.118985
2005-09-18,111.118985
2005-09-19,111.432423
2005-09-20,111.604019
2005-09-21,111.271793
2005-09-22,111.475524
2005-09-23,111.981069
2005-09-24,111.891989
2005-09-25,111.891989
2005-09-26,112.351964
2005-09-27,113.047229
2005-09-28,113.125175
2005-09-29,112.894931
2005-09-30,113.356827
2005-10-01,113.371649
2005-10-02,113.371649
2005-10-03,114.102417
2005-10-04,114.291286
2005-10-05,113.904143
2005-10-06,113.537475
2005-10-07,113.683758
2005-10-08,113.626891
2005-10-09,113.626891
2005-10-10,114.1491
2005-10-11,114.299838
2005-10-12,114.413197
2005-10-13,114.771156
2005-10-14,114.270607
2005-10-15,114.327866
2005-10-16,114.327866
2005-10-17,114.838146
2005-10-18,115.754586
2005-10-19,115.471586
2005-10-20,115.507529
2005-10-21,115.800416
2005-10-22,115.762271
2005-10-23,115.762271
2005-10-24,115.468475
2005-10-25,115.086962
2005-10-26,115.820152
2005-10-27,115.308821
2005-10-28,115.497731
2005-10-29,115.485955
2005-10-30,115.485955
2005-10-31,116.27736
2005-11-01,116.625959
2005-11-02,116.849883
2005-11-03,117.070371
2005-11-04,118.04971
2005-11-05,118.00136
2005-11-06,118.00136
2005-11-07,117.636934
2005-11-08,117.374512
2005-11-09,117.428772
2005-11-10,117.932822
2005-11-11,118.010882
2005-11-12,118.019635
2005-11-13,118.019635
2005-11-14,118.775625
2005-11-15,119.056521
2005-11-16,119.215944
2005-11-17,118.736852
2005-11-18,119.206448
2005-11-19,119.197567
2005-11-20,119.197567
2005-11-21,118.935289
2005-11-22,119.140593
2005-11-23,118.75025
2005-11-24,118.824493
2005-11-25,119.528532
2005-11-26,119.482816
2005-11-27,119.482816
2005-11-28,119.182987
2005-11-29,119.39883
2005-11-30,119.706565
2005-12-01,120.450741
2005-12-02,120.709799
2005-12-03,120.637695
2005-12-04,120.637695
2005-12-05,120.822668
2005-12-06,120.888882
2005-12-07,121.000679
2005-12-08,120.39341
2005-12-09,120.557965
2005-12-10,120.571223
2005-12-11,120.571223
2005-12-12,120.003975
2005-12-13,120.119363
2005-12-14,117.588673
2005-12-15,116.287701
2005-12-16,115.920973
2005-12-17,115.952564
2005-12-18,115.952564
2005-12-19,116.097174
2005-12-20,116.86829
2005-12-21,117.263411
2005-12-22,116.882037
2005-12-23,116.445883
2005-12-24,116.439514
2005-12-25,116.439514
2005-12-26,116.434757
2005-12-27,117.157106
2005-12-28,117.486584
2005-12-29,117.858938
2005-12-30,117.851241
2005-12-31,117.833165
2006-01-01,117.833165
2006-01-02,117.976336
2006-01-03,116.648867
2006-01-04,116.067876
2006-01-05,115.973673
2006-01-06,114.989953
2006-01-07,115.166704
2006-01-08,115.166704
2006-01-09,114.366308
2006-01-10,114.510581
2006-01-11,114.181109
2006-01-12,113.974697
2006-01-13,114.457586
2006-01-14,114.464902
2006-01-15,114.464902
2006-01-16,114.801784
2006-01-17,115.518313
2006-01-18,115.201685
2006-01-19,115.255171
2006-01-20,115.307754
2006-01-21,115.276075
2006-01-22,115.276075
2006-01-23,114.457721
2006-01-24,114.511185
2006-01-25,115.372097
2006-01-26,116.103443
2006-01-27,117.0783
2006-01-28,117.045913
2006-01-29,117.045913
2006-01-30,117.55219
2006-01-31,117.197164
2006-02-01,117.792912
2006-02-02,118.449912
2006-02-03,118.826327
